game date,away,home,game time,espn id
"January 26, 2013",COL,SJS,4:00 PM ET,400442531
"January 26, 2013",CHI,CBJ,7:00 PM ET,400442533
"January 26, 2013",STL,DAL,8:00 PM ET,400442535
"January 26, 2013",EDM,CGY,10:00 PM ET,400442537
"January 26, 2013",TOR,NYR,7:00 PM ET,400442532
"January 26, 2013",PHI,FLA,7:30 PM ET,400442534
"January 26, 2013",LAK,PHX,8:00 PM ET,400442536
"January 26, 2013",NSH,ANA,10:30 PM ET,400442538
"January 27, 2013",BUF,WSH,3:00 PM ET,400442539
"January 27, 2013",NJD,MTL,6:00 PM ET,400442541
"January 27, 2013",DET,CHI,7:00 PM ET,400442544
"January 27, 2013",NYI,WPG,8:00 PM ET,400442545
"January 27, 2013",PIT,OTT,5:00 PM ET,400442540
"January 27, 2013",PHI,TBL,6:00 PM ET,400442542
"January 27, 2013",MIN,STL,8:00 PM ET,400442543
"January 27, 2013",VAN,SJS,8:00 PM ET,400442546
"January 28, 2013",BOS,CAR,7:00 PM ET,400442547
"January 28, 2013",NSH,PHX,9:00 PM ET,400442549
"January 28, 2013",VAN,LAK,10:30 PM ET,400442551
"January 28, 2013",DAL,CBJ,7:00 PM ET,400442548
"January 28, 2013",COL,EDM,9:30 PM ET,400442550
"January 29, 2013",NJD,BOS,7:00 PM ET,400442552
"January 29, 2013",PHI,NYR,7:00 PM ET,400442554
"January 29, 2013",WSH,OTT,7:30 PM ET,400442556
"January 29, 2013",FLA,TBL,7:30 PM ET,400442558
"January 29, 2013",CBJ,MIN,8:00 PM ET,400442560
"January 29, 2013",TOR,BUF,7:00 PM ET,400442553
"January 29, 2013",WPG,MTL,7:30 PM ET,400442555
"January 29, 2013",NYI,PIT,7:30 PM ET,400442557
"January 29, 2013",DAL,DET,7:30 PM ET,400442559
"January 29, 2013",ANA,SJS,10:30 PM ET,400442561
"January 30, 2013",MTL,OTT,7:00 PM ET,400442562
"January 30, 2013",EDM,PHX,9:30 PM ET,400442564
"January 30, 2013",CHI,MIN,8:00 PM ET,400442563
"January 30, 2013",COL,VAN,10:00 PM ET,400442565
"January 31, 2013",BUF,BOS,7:00 PM ET,400442566
"January 31, 2013",NYI,NJD,7:00 PM ET,400442568
"January 31, 2013",STL,CBJ,7:00 PM ET,400442570
"January 31, 2013",COL,CGY,9:00 PM ET,400442572
"January 31, 2013",EDM,SJS,10:30 PM ET,400442574
"January 31, 2013",WSH,TOR,7:00 PM ET,400442567
"January 31, 2013",PIT,NYR,7:00 PM ET,400442569
"January 31, 2013",WPG,FLA,7:30 PM ET,400442571
"January 31, 2013",NSH,LAK,10:30 PM ET,400442573
"April 1, 2013",NYI,NJD,7:00 PM ET,400442996
"April 1, 2013",CAR,MTL,7:30 PM ET,400442998
"April 1, 2013",STL,MIN,8:00 PM ET,400443000
"April 1, 2013",ANA,DAL,8:30 PM ET,400443002
"April 1, 2013",VAN,SJS,10:30 PM ET,400443004
"April 1, 2013",WPG,NYR,7:00 PM ET,400442997
"April 1, 2013",COL,DET,7:30 PM ET,400442999
"April 1, 2013",NSH,CHI,8:30 PM ET,400443001
"April 1, 2013",CGY,EDM,9:30 PM ET,400443003
"April 2, 2013",OTT,BOS,7:00 PM ET,400443005
"April 2, 2013",WSH,CAR,7:00 PM ET,400443007
"April 2, 2013",FLA,TBL,7:30 PM ET,400443009
"April 2, 2013",LAK,PHX,10:00 PM ET,400443011
"April 2, 2013",WPG,NYI,7:00 PM ET,400443006
"April 2, 2013",BUF,PIT,7:30 PM ET,400443008
"April 2, 2013",COL,NSH,8:00 PM ET,400443010
"April 3, 2013",PIT,NYR,7:30 PM ET,400443012
"April 3, 2013",EDM,CGY,10:00 PM ET,400443014
"April 3, 2013",MIN,SJS,10:30 PM ET,400443016
"April 3, 2013",MTL,PHI,7:30 PM ET,400443013
"April 3, 2013",DAL,ANA,10:00 PM ET,400443015
"April 4, 2013",NJD,BOS,7:00 PM ET,400443017
"April 4, 2013",NYI,WSH,7:00 PM ET,400443019
"April 4, 2013",WPG,MTL,7:30 PM ET,400443021
"April 4, 2013",STL,CHI,8:30 PM ET,400443023
"April 4, 2013",DET,PHX,10:00 PM ET,400443025
"April 4, 2013",PHI,TOR,7:00 PM ET,400443018
"April 4, 2013",TBL,CAR,7:00 PM ET,400443020
"April 4, 2013",CBJ,NSH,8:00 PM ET,400443022
"April 4, 2013",EDM,VAN,10:00 PM ET,400443024
"April 4, 2013",MIN,LAK,10:30 PM ET,400443026
"April 5, 2013",OTT,BUF,7:00 PM ET,400443027
"April 5, 2013",CBJ,STL,8:00 PM ET,400443029
"April 5, 2013",DAL,ANA,10:00 PM ET,400443031
"April 5, 2013",NYR,PIT,7:00 PM ET,400443028
"April 5, 2013",DET,COL,9:00 PM ET,400443030
"April 5, 2013",CGY,SJS,10:30 PM ET,400443032
"April 6, 2013",PHI,WPG,3:00 PM ET,400443033
"April 6, 2013",EDM,LAK,4:00 PM ET,400443035
"April 6, 2013",TOR,NJD,7:00 PM ET,400443037
"April 6, 2013",NYR,CAR,7:00 PM ET,400443039
"April 6, 2013",COL,PHX,9:00 PM ET,400443041
"April 6, 2013",CHI,NSH,3:00 PM ET,400443034
"April 6, 2013",BOS,MTL,7:00 PM ET,400443036
"April 6, 2013",TBL,NYI,7:00 PM ET,400443038
"April 6, 2013",WSH,FLA,7:30 PM ET,400443040
"April 6, 2013",CGY,VAN,10:00 PM ET,400443042
"April 7, 2013",STL,DET,12:30 PM ET,400443043
"April 7, 2013",OTT,FLA,6:00 PM ET,400443045
"April 7, 2013",TBL,WSH,7:00 PM ET,400443047
"April 7, 2013",NJD,BUF,7:00 PM ET,400443049
"April 7, 2013",DAL,SJS,4:00 PM ET,400443044
"April 7, 2013",MIN,CBJ,6:00 PM ET,400443046
"April 7, 2013",NSH,CHI,7:00 PM ET,400443048
"April 7, 2013",LAK,ANA,9:00 PM ET,400443050
"April 8, 2013",CAR,BOS,7:00 PM ET,400443051
"April 8, 2013",CGY,COL,9:00 PM ET,400443053
"April 8, 2013",EDM,ANA,10:00 PM ET,400443055
"April 8, 2013",NYR,TOR,7:00 PM ET,400443052
"April 8, 2013",PHX,VAN,10:00 PM ET,400443054
"April 9, 2013",PHI,NYI,7:00 PM ET,400443056
"April 9, 2013",SJS,CBJ,7:00 PM ET,400443058
"April 9, 2013",OTT,TBL,7:30 PM ET,400443060
"April 9, 2013",STL,NSH,8:00 PM ET,400443062
"April 9, 2013",LAK,DAL,8:30 PM ET,400443064
"April 9, 2013",PIT,CAR,7:00 PM ET,400443057
"April 9, 2013",WSH,MTL,7:30 PM ET,400443059
"April 9, 2013",BUF,WPG,8:00 PM ET,400443061
"April 9, 2013",CHI,MIN,8:00 PM ET,400443063
"April 10, 2013",BOS,NJD,7:30 PM ET,400443065
"April 10, 2013",VAN,CGY,9:30 PM ET,400443067
"April 10, 2013",COL,ANA,10:00 PM ET,400443069
